"","Survey.year","Haul.ID","Bottom.temperature..degrees.Celsius.","Surface.temperature..degrees.Celsius.","Depth..m.","Start.latitude..decimal.degrees.","Start.longitude..decimal.degrees.","Day.of.year","blooms_north","blooms_south","north_ice_free","north_ice_full","south_ice_free","south_ice_full","JanFeb_ice","MarApr_ice","JMarApr_ice","log_density"
"1",1998,937217,-0.282370617275766,0.865460297294749,-0.548221150968586,1.18243043359835,-0.576163652784613,0.955086350340561,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.25854161127511
"2",1998,937218,-0.94128582980118,0.948256917036141,-0.403328236745509,1.1913439501161,-0.71456900581251,0.955086350340561,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.215006146237282
"3",1998,937220,-0.897358148966152,0.368680578846394,-0.0845638254547393,1.19192559062506,-0.998725538963507,1.00735983857571,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.530435073150863
"4",1998,937224,-0.414153659780848,0.824061987424053,0.523986414282184,0.694901347497345,-1.09492647355867,1.05963332681085,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.899047909587167
"5",1998,937225,-0.370225978945821,0.948256917036141,0.495007831437569,0.616762667839804,-1.03025422086083,1.05963332681085,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.71671861972695
"6",1998,937226,-0.370225978945821,1.03105353677753,0.523986414282184,0.533458821611186,-0.954923275309946,1.05963332681085,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-1.08564656789927
"7",1998,937237,-0.458081340615876,0.74126536768266,0.755815077039107,0.855990912049008,-1.25602122872228,1.21645379151629,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-1.42469104832278
"8",1998,937239,-0.502009021450904,0.824061987424053,0.350114917214492,1.18633786470987,-1.29919500658898,1.21645379151629,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.533856583097395
"9",1998,937241,-1.38056263815146,0.74126536768266,-0.171499573988586,1.51324965846734,-1.03993929335933,1.26872727975144,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.386311526472749
"10",1998,937242,-1.2927072764814,0.534273818329179,-0.0845638254547393,1.34921709236604,-1.02470011087324,1.26872727975144,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,0.0597716412710753
"11",1998,937243,-1.11699655314129,0.658468747941268,0.00237192307910686,1.52375895791995,-1.19723969873856,1.26872727975144,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,0.117681052405513
"12",1998,937246,-0.545936702285931,0.824061987424053,0.23420058583603,1.03430101269519,-1.14254013067897,1.00735983857571,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.200407999522708
"13",1998,937247,-0.458081340615876,0.74126536768266,0.379093500059107,0.869244361595198,-1.13072246742575,1.00735983857571,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,0.0689047344150939
"14",1998,937248,-0.545936702285931,0.617070438070572,0.263179168680646,0.773880174556728,-1.06165720560079,1.05963332681085,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.191747970727834
"15",1998,937250,-0.414153659780848,0.782663677553357,1.53823681384372,0.685167568723363,-1.5218749774838,1.37327425622173,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.450700056144011
"16",1998,937251,-0.106659893935655,0.74126536768266,1.85700122513449,0.694911290070151,-1.68662986343326,1.37327425622173,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-1.05616726182747
"17",1998,937253,NA,1.15524846638962,1.71210831091142,0.529292883606793,-1.51489132863864,1.37327425622173,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-0.57476323572476
"18",1998,937259,-0.414153659780848,0.782663677553357,1.10355807117449,0.520468850244271,-1.20918305914916,1.16418030328115,1.94746222671093,1.60684085944914,-0.149956616051153,0.149956616051153,0.675661095114452,-0.675661095114452,1.26186227025134,-0.299877433403347,-0.311522044947071,-1.10429185608675
